"Date","GODREJIND.NS.Open","GODREJIND.NS.High","GODREJIND.NS.Low","GODREJIND.NS.Close","GODREJIND.NS.Volume","GODREJIND.NS.Adjusted"
2015-11-24,386,393.5,385.25,389.54999,314200,387.48199
2015-11-25,389.54999,389.54999,389.54999,389.54999,0,387.48199
2015-11-26,394.5,398,390,396.29999,741900,394.19615
2015-11-27,396,401.04999,386.95001,390.35001,491100,388.27776
2015-11-30,390,391.35001,370.14999,382.64999,402200,380.61862
2015-12-01,383.5,387.64999,381.5,382.14999,304500,380.12128
2015-12-02,383,384.75,376.25,377.75,199000,375.74464
2015-12-03,375.60001,378.39999,366.60001,370.85001,200400,368.88128
2015-12-04,367.89999,376.75,366.04999,370.95001,152200,368.98075
2015-12-07,372.45001,383,367,375.85001,448500,373.85474
2015-12-08,377,382,363.75,369.20001,384400,367.24004
2015-12-09,369.29999,372.35001,360.85001,362.29999,246100,360.37665
2015-12-10,364,365.14999,353.5,356.29999,240800,354.4085
2015-12-11,357.29999,366.79999,351,360.39999,433600,358.48674
2015-12-14,360.60001,366.45001,354.54999,360.79999,522200,358.88461
2015-12-15,360.79999,364.89999,354.75,357.60001,447600,355.70162
2015-12-16,359.95001,365.75,359.95001,363.10001,236600,361.17242
2015-12-17,364.5,373,364.5,370.5,512300,368.53313
2015-12-18,370.39999,379.45001,366.10001,377.70001,320500,375.69492
2015-12-21,377.60001,385.95001,372.70001,384.35001,326500,382.30961
2015-12-22,387.5,388.85001,378.29999,380.20001,263700,378.18165
2015-12-23,382.64999,383.89999,380,381.04999,120200,379.02711
2015-12-24,381.95001,384.25,378.29999,380.14999,105500,378.1319
2015-12-25,380.14999,380.14999,380.14999,380.14999,0,378.1319
2015-12-28,379.89999,385.79999,378.5,382.79999,202800,380.76782
2015-12-29,384,388.79999,380.75,387.54999,369300,385.49261
2015-12-30,389.79999,390,380.5,382.35001,194200,380.32023
2015-12-31,381.95001,385.5,378.04999,379.20001,222400,377.18696
2016-01-01,379.95001,385.29999,379.29999,384.20001,130400,382.16041
2016-01-04,381.25,388.5,369.25,372.29999,172600,370.32356
2016-01-05,374.79999,384,372,382.29999,188700,380.27048
2016-01-06,384.85001,386,375.25,379.75,158900,377.73403
2016-01-07,376.5,388,373.39999,383.39999,441200,381.36464
2016-01-08,384.20001,390,378.75,387.45001,424700,385.39316
2016-01-11,385.75,385.79999,376,378.95001,190400,376.93828
2016-01-12,379.60001,382.20001,373.54999,376.29999,165900,374.30233
2016-01-13,378.14999,383.10001,363,371.79999,212600,369.82622
2016-01-14,367.89999,371,359.75,367.39999,185800,365.44958
2016-01-15,368,370.95001,350.5,352.14999,176600,350.28054
2016-01-18,350,354.75,340,341.95001,244700,340.13471
2016-01-19,343.95001,352.04999,340,350.04999,253600,348.19168
2016-01-20,347,350,334.39999,337.20001,441300,335.40992
2016-01-21,340,346.5,337.45001,344,306100,342.17381
2016-01-22,345.10001,351.95001,343.5,347.14999,180100,345.30708
2016-01-25,347.95001,351,341.10001,343.39999,182000,341.57699
2016-01-26,343.39999,343.39999,343.39999,343.39999,0,341.57699
2016-01-27,342.25,343,335,337.39999,233000,335.60884
2016-01-28,335.39999,345.89999,332,343.79999,353600,341.97486
2016-01-29,342.5,355.89999,342.5,350.89999,347300,349.03718
2016-02-01,352.5,358.35001,352.5,354,174000,352.12072
2016-02-02,354,355.39999,338,340.64999,131100,338.84159
2016-02-03,337,346.64999,334,336.64999,134900,334.86282
2016-02-04,337.35001,347,337.35001,344.70001,285100,342.87011
2016-02-05,347.25,353.79999,343.10001,350.75,332400,348.88798
2016-02-08,352.95001,354.95001,342.79999,343.5,196100,341.67647
2016-02-09,341,344.35001,337.20001,339.04999,349300,337.25008
2016-02-10,338,346.20001,333.45001,337.35001,296000,335.55912
2016-02-11,336.25,340.75,310.5,316.70001,404400,315.01875
2016-02-12,319.95001,324.89999,304.04999,311.25,475200,309.59767
2016-02-15,319,329.89999,317,325.35001,428100,323.62282
2016-02-16,324,328.35001,312.25,314.39999,528600,312.73094
2016-02-17,314.39999,318.75,308.10001,316.89999,396600,315.21767
2016-02-18,319,322,307.35001,310.39999,264200,308.75218
2016-02-19,310.39999,315.79999,307.35001,308.79999,269600,307.16067
2016-02-22,310.10001,316.35001,308.54999,314.14999,404300,312.48227
2016-02-23,315.95001,317.45001,310.04999,311.89999,304700,310.24421
2016-02-24,310.54999,313.79999,307.75,311.20001,190400,309.54795
