"Date","DALMIABHA.NS.Open","DALMIABHA.NS.High","DALMIABHA.NS.Low","DALMIABHA.NS.Close","DALMIABHA.NS.Volume","DALMIABHA.NS.Adjusted"
2016-09-22,1750,1805,1733,1795.05,738200,1795.05
2016-09-23,1791,1899,1751.55,1877.1,182100,1877.1
2016-09-26,1878.95,1884,1806.95,1813.35,58300,1813.35
2016-09-27,1820.9,1884,1820.9,1835.15,70300,1835.15
2016-09-28,1847,1874.75,1836.1,1854,90900,1854
2016-09-29,1864.95,1889.4,1820,1845.3,68200,1845.3
2016-09-30,1786.2,1875,1786.2,1871,19500,1871
2016-10-03,1873,1940,1873,1920.5,62900,1920.5
2016-10-04,1940,2010,1925.05,1970.85,159500,1970.85
2016-10-05,1970.85,1980,1892,1928.4,61600,1928.4
2016-10-06,1925,1950,1900.1,1912.35,713700,1912.35
2016-10-07,1912.35,1940.05,1867,1887.45,114500,1887.45
2016-10-10,1897.45,1917,1860.6,1866.6,15800,1866.6
2016-10-11,1866.6,1866.6,1866.6,1866.6,0,1866.6
2016-10-12,1866.6,1866.6,1866.6,1866.6,0,1866.6
2016-10-13,1888,1896.95,1868,1882.05,40200,1882.05
2016-10-14,1885.55,1920,1884,1907.45,41500,1907.45
2016-10-17,1900,1938,1869.05,1915.8,83500,1915.8
2016-10-18,1915,1950,1908.45,1932.45,19300,1932.45
2016-10-19,1939,1946,1920,1930.35,9000,1930.35
2016-10-20,1930,1958.95,1910,1928.3,28500,1928.3
2016-10-21,1928,1950,1920,1930.05,8400,1930.05
2016-10-24,1930,1989.9,1920,1979.75,33200,1979.75
2016-10-25,1979,2003,1975,1990.8,20700,1990.8
2016-10-26,1997.8,2024,1985.05,2005.5,22600,2005.5
2016-10-27,2025,2035,1998,2027.9,58400,2027.9
2016-10-28,2035,2070,2024,2057.35,51500,2057.35
2016-10-31,2057.35,2057.35,2057.35,2057.35,0,2057.35
2016-11-01,2055,2085,2045.65,2082.3,16100,2082.3
2016-11-02,2080,2080,2010,2041.2,420700,2041.2
2016-11-03,2068,2070,2020,2028.5,43400,2028.5
2016-11-04,2030.05,2049.7,1961,1989.4,36300,1989.4
2016-11-07,2040,2049.85,2011,2024.65,21200,2024.65
2016-11-08,2028.05,2041,2012.2,2024.85,12500,2024.85
