"Date","HDFCBANK.NS.Open","HDFCBANK.NS.High","HDFCBANK.NS.Low","HDFCBANK.NS.Close","HDFCBANK.NS.Volume","HDFCBANK.NS.Adjusted"
2015-10-19,1100,1102.1,1094.3,1097.8,663500,1088.86
2015-10-20,1098,1102.9,1091.2,1094.9,962800,1085.99
2015-10-21,1098.9,1104,1085,1095,1818300,1086.09
2015-10-22,1095,1095,1095,1095,0,1086.09
2015-10-23,1099.45,1113.7,1096,1108.5,1116700,1099.48
2015-10-26,1113.95,1114.2,1097,1101.5,1221900,1092.53
2015-10-27,1095.55,1114,1095.55,1110.9,2246000,1101.86
2015-10-28,1105.05,1124,1105.05,1111.5,1923600,1102.45
2015-10-29,1110,1114.5,1100,1103.55,1675500,1094.57
2015-10-30,1102,1112,1090.45,1099.6,2024300,1090.65
2015-11-02,1095.05,1095.9,1076.5,1083.1,789100,1074.28
2015-11-03,1090.95,1092,1079.2,1084.9,637100,1076.07
2015-11-04,1090.05,1098.1,1078.25,1081.7,674100,1072.89
2015-11-05,1078.5,1083,1069.5,1079.85,899200,1071.06
2015-11-06,1080.7,1089,1075.25,1080.9,1470200,1072.1
2015-11-09,1058,1069.65,1051,1064.8,2857300,1056.13
2015-11-10,1060.05,1065,1052.45,1054.6,1100600,1046.01
2015-11-11,1054.6,1054.6,1054.6,1054.6,0,1046.01
2015-11-12,1054.6,1054.6,1054.6,1054.6,0,1046.01
2015-11-13,1049.4,1055,1041,1052.05,985000,1043.49
2015-11-16,1048.75,1065,1045.25,1060.95,1183600,1052.31
2015-11-17,1063.3,1063.8,1051.2,1060.8,641800,1052.16
2015-11-18,1061.7,1065.85,1046.3,1048.6,611600,1040.06
2015-11-19,1055,1070.95,1049.6,1068.9,819400,1060.2
2015-11-20,1064.9,1080.25,1060,1070.85,1162000,1062.13
2015-11-23,1074,1075.5,1059.05,1066.05,852000,1057.37
2015-11-24,1065.25,1073.5,1062.1,1064.35,1000500,1055.69
2015-11-25,1064.35,1064.35,1064.35,1064.35,0,1055.69
