"Date","ASIANPAINT.NS.Open","ASIANPAINT.NS.High","ASIANPAINT.NS.Low","ASIANPAINT.NS.Close","ASIANPAINT.NS.Volume","ASIANPAINT.NS.Adjusted"
2015-06-01,787.8,794.7,786.3,789.75,713400,777.0853
2015-06-02,789.1,794.3,756,759.2,1014300,747.0252
2015-06-03,763,767,750,762.7,867700,750.4691
2015-06-04,763.9,766,751.8,759.6,820500,747.4188
2015-06-05,759,765.6,752,758.8,830300,746.6316
2015-06-08,759,760,745,748,795600,736.0048
2015-06-09,744.8,751.2,730,735.7,998500,723.9021
2015-06-10,736,745.1,734.6,739.15,803700,727.2968
2015-06-11,739.2,743.7,702.5,708.4,1453000,697.0399
2015-06-12,709,722.8,702,705.65,1168500,694.334
2015-06-15,714.75,719.4,696.4,698.55,1244000,687.3478
2015-06-16,700.95,706,693,704.95,2765600,693.6452
2015-06-17,708,719.2,705,710.65,2215400,699.2538
2015-06-18,718.95,734.35,718.95,728.95,1908100,717.2603
2015-06-19,733.8,744.9,729.75,740,1783800,728.1331
2015-06-22,744.65,751.55,732.5,747.7,1350500,735.7096
2015-06-23,750,760,741.65,756.5,980000,744.3685
2015-06-24,751.9,759.8,739.2,753.65,2982600,745.8034
2015-06-25,753,759.8,745.1,750.2,1858300,742.3893
2015-06-26,744.1,754.9,743.8,750.25,764300,742.4388
2015-06-29,743,743,727.5,736.7,1100300,729.0299
2015-06-30,737,759.5,737,755.35,1348100,747.4857
2015-07-01,757.45,765.6,755.1,760.8,1025200,752.879
2015-07-02,763.1,772.5,761.1,762.9,973800,754.9571
2015-07-03,762,778.4,758.4,772.7,1068800,764.6551
2015-07-06,765,786.15,762,783.55,652900,775.3921
2015-07-07,793,827.9,790.05,824.6,2464400,816.0147
2015-07-08,819.8,835,797.35,802.25,1933500,793.8974
2015-07-09,810,814.9,795,796.95,613500,788.6526
2015-07-10,806,806,781.7,795.3,1027200,787.0198
2015-07-13,805.2,821.2,803.3,817.65,1275700,809.1371
2015-07-14,823,827.8,810.3,822.7,780900,814.1345
2015-07-15,826.5,840.5,823.25,837.85,1095500,829.1267
2015-07-16,853,854.3,843.3,848.05,1169500,839.2206
2015-07-17,851.8,852.4,823.75,825.4,1089500,816.8064
2015-07-20,830,855.95,827.25,852.3,1437200,843.4263
2015-07-21,853,869.7,811.1,816.05,4611500,807.5537
2015-07-22,820,845,820,843.3,2035500,834.52
2015-07-23,846,851.8,836.1,846.5,1188500,837.6867
2015-07-24,852,856,845,849,1132500,840.1607
2015-07-27,847,859.6,836,853.15,1153200,844.2675
2015-07-28,857,858.2,825,835.15,1009800,826.4549
2015-07-29,834.4,852.8,826.25,846.85,1010000,838.033
2015-07-30,848,866.45,847.5,857.55,1318700,848.6217
2015-07-31,864.5,885,855.15,882.8,1842100,873.6088
2015-08-03,880,888,875,877.5,763800,868.364
2015-08-04,884,908.85,878.15,905.7,2178200,896.2704
2015-08-05,905,926.8,885.75,923.3,2003100,913.6871
2015-08-06,920,924.5,910.1,916.1,923300,906.5621
2015-08-07,911,924.4,895.2,898.65,1416000,889.2938
2015-08-10,903.5,916.25,895.4,902.15,732300,892.7573
2015-08-11,905,906.95,881,883.4,1091000,874.2026
2015-08-12,890,895.5,867,871.35,721500,862.278
2015-08-13,872.15,886.95,862.35,874.35,1251100,865.2467
2015-08-14,880,900,879.55,895.25,880800,885.9292
2015-08-17,903.5,907.25,895,900.05,577100,890.6792
2015-08-18,906.95,914.9,891.9,901.35,622700,891.9656
2015-08-19,898.5,902.6,881.6,899.75,618900,890.3823
2015-08-20,905,914.25,879.55,883.2,1404500,874.0046
2015-08-21,875,893,864,886.75,905900,877.5177
2015-08-24,858,877.2,825.5,837.5,1176100,828.7804
2015-08-25,850,866,811.75,852.15,1329600,843.2779
2015-08-26,851,868.1,847,851.9,1265000,843.0305
2015-08-27,860,865,850.5,855,1335700,846.0982
2015-08-28,866.85,874.1,850,858.25,1077500,849.3144
2015-08-31,857,862.75,845.05,848.6,1260400,839.7648
2015-09-01,844,844.1,802.8,819.1,1438400,810.572
2015-09-02,829.9,830,799.15,806,1500600,797.6084
2015-09-03,815,833,806.5,826.6,887000,817.9939
