"Date","PETRONET.NS.Open","PETRONET.NS.High","PETRONET.NS.Low","PETRONET.NS.Close","PETRONET.NS.Volume","PETRONET.NS.Adjusted"
2015-06-15,173.3,175.9,173.3,174.4,474400,171.17
2015-06-16,174.25,175.75,173.5,175.25,291600,172
2015-06-17,175.9,177.5,173.85,176.75,380700,173.47
2015-06-18,177,179.5,175.8,178.75,582300,175.43
2015-06-19,179.6,181.8,177.8,181.2,518000,177.84
2015-06-22,181.8,183.15,180.4,181.7,735400,178.33
2015-06-23,181.1,186.55,180.55,185.75,650200,182.3
2015-06-24,185.8,187.9,183.2,184.5,1073000,181.08
2015-06-25,183.25,192,182.7,190.55,950000,187.02
2015-06-26,188.8,191,185.45,189.85,754500,186.33
2015-06-29,186.5,190,183.45,188.85,531200,185.35
2015-06-30,187.1,188,182.5,187,1425000,183.53
2015-07-01,185.3,197.2,185.3,192.8,2132200,189.22
2015-07-02,193,194.5,187.85,190.2,1023100,186.67
2015-07-03,192,194.5,189.15,192.7,996500,189.13
2015-07-06,187.25,191.5,187.25,190.8,558100,187.26
2015-07-07,190.25,194,188.1,191.7,541400,188.14
2015-07-08,190.5,192,186.1,187.15,343900,183.68
2015-07-09,185,188.8,185,186.15,279600,182.7
2015-07-10,187.5,189.9,186.1,188.25,211300,184.76
2015-07-13,188.7,191.95,188.3,190.2,407800,186.67
2015-07-14,191,196.85,190,194.15,851900,190.55
2015-07-15,194.4,198.45,192.05,193.85,655800,190.25
2015-07-16,193.85,194,191,192.6,526700,189.03
2015-07-17,192.9,193.4,189.15,189.85,428800,186.33
2015-07-20,189,193.75,189,192.75,385300,189.17
2015-07-21,193,194.4,189.4,191.15,465100,187.6
2015-07-22,191,197.45,188.75,195.55,412100,191.92
2015-07-23,196.5,202.5,196.5,200.35,1417700,196.63
2015-07-24,201.1,203,195.5,196.35,676400,192.71
2015-07-27,196,196,187.3,189.35,613700,185.84
2015-07-28,189.4,192,186.75,187.35,328800,183.87
2015-07-29,185.6,190.4,183.05,189.45,621200,185.94
2015-07-30,190,200.85,188.5,194.4,2105800,190.79
2015-07-31,195.9,198,192.15,193.3,716700,189.71
2015-08-03,191.3,195.2,191.1,192.85,479500,189.27
2015-08-04,193.6,193.9,189.5,190.35,613400,186.82
2015-08-05,191,194.65,190.2,191.55,412700,188
2015-08-06,190.25,192.65,188.5,189.2,944200,185.69
2015-08-07,189.3,190.25,183.9,185.05,644500,181.62
2015-08-10,183.9,190.4,183.85,188.55,569200,185.05
2015-08-11,189,192.25,186.65,189,934400,185.49
2015-08-12,189.35,195.55,187,189.95,742100,186.43
2015-08-13,190,193.7,186.75,187.8,352000,184.32
2015-08-14,190,191.9,186.9,189.35,400800,185.84
2015-08-17,187.6,191,184.75,185.15,670700,181.72
2015-08-18,184.75,187.65,183.6,186.8,493500,183.34
2015-08-19,186,188.05,185,185.35,273100,181.91
2015-08-20,185.7,187,178.1,179.15,560900,175.83
2015-08-21,179,180.8,174.1,179.8,608600,176.46
2015-08-24,175,179.05,163.55,169.6,943600,166.45
2015-08-25,171,179.7,169.8,178.2,630300,174.89
