"Date","STAR.NS.Open","STAR.NS.High","STAR.NS.Low","STAR.NS.Close","STAR.NS.Volume","STAR.NS.Adjusted"
2015-09-18,1160,1174.35,1130.4,1151.65,700400,1147.74
2015-09-21,1163.35,1206.4,1160.15,1200.35,670300,1196.27
2015-09-22,1209.5,1229,1182.3,1203.15,665800,1199.06
2015-09-23,1188.2,1224,1182.7,1218.15,362100,1214.01
2015-09-24,1226.95,1260,1220.15,1237.05,822700,1232.85
2015-09-25,1237.05,1237.05,1237.05,1237.05,0,1232.85
2015-09-28,1242.3,1249.9,1217.95,1220.9,378300,1216.75
2015-09-29,1200,1218,1195.05,1205.9,365200,1201.8
2015-09-30,1215.8,1227,1212.2,1221.1,300200,1216.95
2015-10-01,1238.75,1252.9,1227.6,1234.1,387000,1229.91
2015-10-02,1234.1,1234.1,1234.1,1234.1,0,1229.91
2015-10-05,1245.1,1273,1238,1266.55,335000,1262.25
2015-10-06,1270.15,1288.1,1255.55,1277.95,297000,1273.61
2015-10-07,1280,1280,1255,1260.75,207900,1256.47
2015-10-08,1262.15,1276.7,1241.1,1244.8,291800,1240.57
2015-10-09,1250,1259,1228.6,1244.35,181900,1240.12
2015-10-12,1244,1273.35,1235,1245.95,241400,1241.72
2015-10-13,1249,1254.95,1235.5,1240.05,145700,1235.84
2015-10-14,1240.2,1259,1240,1253.1,176400,1248.84
2015-10-15,1258,1269.9,1255,1257.5,149400,1253.23
2015-10-16,1260,1280.4,1245,1274,208400,1269.67
2015-10-19,1279.75,1303,1273,1293.2,320500,1288.81
2015-10-20,1299,1304.8,1277.5,1295.65,226200,1291.25
2015-10-21,1295.45,1320,1287.25,1311.95,283400,1307.49
2015-10-22,1311.95,1311.95,1311.95,1311.95,0,1307.49
2015-10-23,1335.5,1339.9,1321.65,1332.8,460700,1328.27
2015-10-26,1332.8,1338.3,1226,1317.3,339700,1312.82
2015-10-27,1309.5,1315.95,1269.25,1286.9,637100,1282.53
2015-10-28,1279,1325,1279,1301.35,644200,1296.93
2015-10-29,1315,1320,1291,1299.35,419000,1294.93
2015-10-30,1300,1315,1273,1293.65,305800,1289.25
2015-11-02,1290,1307,1287.5,1303.95,174700,1299.52
2015-11-03,1310,1318,1298.1,1310.4,151400,1305.95
2015-11-04,1310.55,1317,1283.7,1296.2,209300,1291.79
2015-11-05,1295,1295.15,1264.15,1268.2,169600,1263.89
2015-11-06,1267,1283.45,1232.3,1240.5,247000,1236.28
2015-11-09,1218.7,1260,1200.4,1250.65,237300,1246.4
2015-11-10,1248.95,1273.75,1236.6,1243.95,227100,1239.72
2015-11-11,1243.95,1243.95,1243.95,1243.95,0,1239.72
2015-11-12,1243.95,1243.95,1243.95,1243.95,0,1239.72
2015-11-13,1240,1294.45,1233,1284.7,271100,1280.33
2015-11-16,1281,1317.3,1275.45,1313.85,468500,1309.38
2015-11-17,1319.1,1397.5,1317.25,1382.95,1086000,1378.25
2015-11-18,1381.15,1401.95,1343.65,1346.75,474100,1342.17
2015-11-19,1350,1382,1336.5,1377.9,336800,1373.22
2015-11-20,1383,1389,1355,1362.3,217700,1357.67
2015-11-23,1390,1414,1366,1374.85,476300,1370.18
2015-11-24,1376,1383.9,1352.05,1373.1,237000,1368.43
2015-11-25,1373.1,1373.1,1373.1,1373.1,0,1368.43
2015-11-26,1371,1379,1358.35,1367.05,269500,1362.4
2015-11-27,1365,1381.1,1345.5,1348.1,266600,1343.52
2015-11-30,1348.1,1382,1348,1382,304500,1377.3
