"Date","LT.NS.Open","LT.NS.High","LT.NS.Low","LT.NS.Close","LT.NS.Volume","LT.NS.Adjusted"
2015-10-27,1505.1,1523,1490.1,1494.75,2534100,1476.5941
2015-10-28,1489.9,1499,1483,1492.75,1681400,1474.6184
2015-10-29,1495,1495.95,1466.6,1470.75,1934400,1452.8857
2015-10-30,1473,1497.7,1400,1410.75,7609600,1393.6144
2015-11-02,1400,1404,1374.25,1388.65,4948600,1371.7829
2015-11-03,1396.9,1396.9,1367.6,1373.3,3477200,1356.6194
2015-11-04,1388,1388,1365,1368.1,2591000,1351.4825
2015-11-05,1370,1379.55,1364,1368.95,2482200,1352.3221
2015-11-06,1373,1386.5,1372.1,1377.25,1878500,1360.5214
2015-11-09,1350,1364,1331.1,1359.05,2596500,1342.5425
2015-11-10,1355.05,1367.5,1343,1348.4,2368600,1332.0218
2015-11-11,1348.4,1348.4,1348.4,1348.4,0,1332.0218
2015-11-12,1348.4,1348.4,1348.4,1348.4,0,1332.0218
2015-11-13,1359,1359,1330,1331.2,1819200,1315.0306
2015-11-16,1329.5,1362.8,1326,1357.15,2302000,1340.6655
2015-11-17,1368.5,1372.5,1345,1351.75,1863400,1335.3311
2015-11-18,1354,1369,1341,1344.45,1691600,1328.1197
2015-11-19,1358,1365,1350.1,1358.95,1204400,1342.4436
2015-11-20,1362.4,1373.4,1344.5,1366.85,1695700,1350.2477
2015-11-23,1370,1383.9,1365.05,1368.9,1452000,1352.2728
2015-11-24,1363,1368.9,1337.5,1341.55,1741200,1325.255
2015-11-25,1341.55,1341.55,1341.55,1341.55,0,1325.255
2015-11-26,1349.75,1354.3,1330.15,1332.65,2717900,1316.4631
2015-11-27,1336.4,1367.5,1336,1365,2308600,1348.4201
2015-11-30,1364.85,1383.95,1364,1374.6,2408900,1357.9035
2015-12-01,1375,1382.9,1360.55,1364.85,918000,1348.2719
2015-12-02,1368,1374,1351.85,1354,1187400,1337.5538
2015-12-03,1350.5,1364.9,1344.25,1347.85,1184100,1331.4784
2015-12-04,1340.55,1351.3,1338,1339.85,1467400,1323.5756
2015-12-07,1345.45,1351.5,1336.1,1341.15,1099300,1324.8599
2015-12-08,1337.95,1340,1314,1322.1,1478500,1306.0412
2015-12-09,1320.1,1324.95,1298.4,1300.7,2218400,1284.9011
2015-12-10,1309.6,1317.75,1301,1310.95,1928800,1295.0266
2015-12-11,1311.1,1313.75,1276.55,1285.75,2742600,1270.1327
2015-12-14,1284.4,1292.35,1264.5,1274.4,2673500,1258.9206
2015-12-15,1275,1289.3,1265.1,1283.2,2222100,1267.6137
2015-12-16,1290.75,1299,1276,1280.9,2234000,1265.3417
2015-12-17,1289,1299.7,1281.55,1296.2,2509500,1280.4558
2015-12-18,1291.85,1308.6,1284.1,1287.4,2623300,1271.7627
2015-12-21,1286.45,1297.7,1284.5,1290.3,1173400,1274.6275
2015-12-22,1291,1296.9,1276,1280.2,1748300,1264.6501
2015-12-23,1288,1299,1283,1291,1613400,1275.319
2015-12-24,1296.8,1301.5,1286.3,1294.5,1484900,1278.7765
2015-12-25,1294.5,1294.5,1294.5,1294.5,0,1278.7765
2015-12-28,1297.15,1300.2,1288.15,1295.15,1571800,1279.4186
2015-12-29,1300,1301,1285.3,1289.55,1520000,1273.8866
2015-12-30,1293.5,1298,1281.5,1283.5,1207800,1267.9101
2015-12-31,1286,1286.55,1272.15,1275.45,1549900,1259.9578
2016-01-01,1279,1291,1272.55,1289.2,751800,1273.5408
2016-01-04,1286,1289.95,1253.3,1255.95,1844800,1240.6947
2016-01-05,1262.8,1269,1252.5,1256.9,1646700,1241.6332
2016-01-06,1259,1259.8,1235,1236.85,1819000,1221.8267
2016-01-07,1228.15,1228.35,1200,1206.4,3126500,1191.7466
2016-01-08,1215.1,1216.9,1175,1179.1,3570600,1164.7781
2016-01-11,1162,1184.9,1145.05,1173.35,2869500,1159.098
2016-01-12,1186.35,1200,1173.25,1179.15,2730100,1164.8276
2016-01-13,1194,1194,1128.1,1156.75,3746600,1142.6996
2016-01-14,1134.4,1155,1110.1,1134.65,3399800,1120.8681
2016-01-15,1139.9,1141.5,1100,1107.9,2658500,1094.443
2016-01-18,1106,1110,1074,1083.55,2777700,1070.3888
2016-01-19,1084.3,1132.5,1069.1,1122.95,2915000,1109.3101
2016-01-20,1100.95,1122.5,1077.35,1116.1,3904500,1102.5434
2016-01-21,1130,1137.6,1091.1,1102.7,2534700,1089.3061
2016-01-22,1115.9,1145,1110.3,1142.2,2463200,1128.3263
2016-01-25,1151,1157.85,1108.9,1114.15,1648500,1100.6171
2016-01-26,1114.15,1114.15,1114.15,1114.15,0,1100.6171
2016-01-27,1122,1122,1097.65,1107.8,1745400,1094.3443
2016-01-28,1101,1103.5,1070,1074.5,3863100,1061.4487
2016-01-29,1074,1109,1070.2,1101.65,3232600,1088.2689
2016-02-01,1125,1158.95,1110.1,1122.05,4702600,1108.4212
2016-02-02,1124,1145,1111,1121.9,3003700,1108.273
2016-02-03,1106.8,1120,1092.3,1108.8,2487700,1095.3321
2016-02-04,1119,1149.85,1118.2,1135.7,3971000,1121.9053
2016-02-05,1141.8,1152,1126.55,1139.9,2667200,1126.0543
2016-02-08,1141,1157.85,1120.4,1130.3,1692800,1116.571
2016-02-09,1115,1127.95,1102.4,1114.2,1682000,1100.6664
2016-02-10,1107.7,1130,1103,1120.6,2135900,1106.9887
2016-02-11,1118.7,1125.25,1079,1092.4,2930000,1079.1313
2016-02-12,1099.6,1102.5,1016.05,1053.65,4106800,1040.852
2016-02-15,1072.3,1154.7,1064.55,1149.4,3959400,1135.4389
2016-02-16,1157.9,1157.9,1099.3,1104,2365800,1090.5904
2016-02-17,1105.6,1133.7,1082.15,1122.45,2319600,1108.8162
2016-02-18,1134.4,1174.95,1133,1149.65,3638100,1135.6859
2016-02-19,1146.15,1168.9,1131.4,1150.5,2024500,1136.5256
2016-02-22,1150,1168.25,1140.2,1149.75,1369600,1135.7847
2016-02-23,1155.25,1156,1125.1,1130.15,1363700,1116.4228
2016-02-24,1122,1130,1110,1112.9,1210700,1099.3823
2016-02-25,1118,1120,1082,1086.45,1770100,1073.2535
2016-02-26,1092.5,1117.5,1092.3,1110.65,1518600,1097.1596
2016-02-29,1114,1123.5,1053.05,1076,3667300,1062.9305
2016-03-01,1087,1129,1081,1123.95,2431400,1110.298
2016-03-02,1143,1150.9,1133.2,1137.9,2434800,1124.0786
2016-03-03,1148.9,1211.2,1134.45,1207.1,3701900,1192.438
2016-03-04,1215,1223.95,1187,1193.2,2292600,1178.7069
2016-03-07,1193.2,1193.2,1193.2,1193.2,0,1178.7069
2016-03-08,1201,1212,1173.2,1187.45,2015100,1173.0267
2016-03-09,1182.4,1220,1178,1212.85,2080700,1198.1182
2016-03-10,1214,1221.5,1181.25,1186.15,1955100,1171.7426
2016-03-11,1188.95,1202,1171.3,1185.65,1997500,1171.2486
2016-03-14,1197,1206.65,1177.7,1184.2,1817500,1169.8162
2016-03-15,1188.7,1197.85,1175.55,1180.75,1629400,1166.4081
2016-03-16,1187,1191.7,1164.9,1183.2,1803100,1168.8283
2016-03-17,1198,1205,1184.45,1193.25,2581700,1178.7563
2016-03-18,1199,1203,1190.1,1199.3,1711200,1184.7329
2016-03-21,1201,1232.55,1194.35,1228.15,2383600,1213.2324
2016-03-22,1234,1245,1222,1237.3,1986500,1222.2713
2016-03-23,1240,1249,1230.3,1242.55,1625400,1227.4575
2016-03-24,1242.55,1242.55,1242.55,1242.55,0,1227.4575
2016-03-25,1242.55,1242.55,1242.55,1242.55,0,1227.4575
2016-03-28,1241,1246.2,1198.05,1206.35,2478300,1191.6972
2016-03-29,1208,1216.05,1190,1193.95,1802100,1179.4477
2016-03-30,1208,1231.9,1201.5,1228.05,1916000,1213.1336
2016-03-31,1225.95,1230,1211.5,1216.7,3297300,1201.9214
2016-04-01,1212,1248.3,1212,1237.9,1693200,1222.864
2016-04-04,1239.9,1250,1221.6,1235.85,1160100,1220.8388
2016-04-05,1228.4,1234.75,1190.05,1195.15,2100700,1180.6332
2016-04-06,1199.1,1215,1182.5,1211.85,1722500,1197.1303
2016-04-07,1208,1209.95,1177.8,1182.9,1805000,1168.532
2016-04-08,1184,1197,1181,1192.25,1043300,1177.7684
2016-04-11,1196,1215.9,1185.6,1213.35,1686600,1198.6121
2016-04-12,1215,1234.9,1207.05,1222.4,1891300,1207.5522
2016-04-13,1236,1253,1229.1,1234.9,3303900,1219.9004
2016-04-14,1234.9,1234.9,1234.9,1234.9,0,1219.9004
2016-04-15,1234.9,1234.9,1234.9,1234.9,0,1219.9004
2016-04-18,1233.1,1256.95,1209.05,1253,1763000,1237.7805
2016-04-19,1253,1253,1253,1253,0,1237.7805
2016-04-20,1257,1267.95,1248,1265.95,1681800,1250.5732
2016-04-21,1269.7,1275,1246.05,1251.95,1149000,1236.7432
2016-04-22,1250,1269,1241.5,1265.1,1338900,1249.7335
2016-04-25,1270,1277.6,1257.1,1265.5,1419100,1250.1287
2016-04-26,1261.1,1283.45,1260.35,1281,1251700,1265.4404
2016-04-27,1281,1288.75,1271.05,1276.45,1038400,1260.9457
2016-04-28,1277,1282.9,1253.4,1259.55,1859900,1244.251
2016-04-29,1260.15,1266.1,1245.5,1254.6,1126200,1239.3611
2016-05-02,1246,1256,1236,1250.75,896200,1235.5579
2016-05-03,1256,1283.15,1245,1251.4,1683400,1236.2
2016-05-04,1247.05,1257.9,1240,1246.8,1096200,1231.6559
2016-05-05,1244.5,1282.5,1244.2,1273.85,1880800,1258.3773
2016-05-06,1271,1272.4,1254,1260.45,1073500,1245.14
2016-05-09,1264,1296.9,1263.2,1294.55,1859000,1278.8259
2016-05-10,1295,1322.7,1288,1320.05,2450700,1304.0162
2016-05-11,1299.85,1334,1295,1327.75,3069000,1311.6226
2016-05-12,1325.1,1339.9,1311.25,1316.1,1035500,1300.1141
2016-05-13,1310,1315,1280.45,1286.5,1402400,1270.8736
2016-05-16,1291.8,1296,1268.75,1283.25,1607300,1267.6631
2016-05-17,1289,1309,1284.65,1291.1,1482300,1275.4177
2016-05-18,1285.4,1312.2,1277.05,1309.85,1735600,1293.94
2016-05-19,1304,1308,1260.05,1266.1,1336700,1250.7214
2016-05-20,1272,1279.7,1251.1,1255.1,1115000,1239.855
2016-05-23,1263.65,1265.85,1238,1241.2,1465800,1226.1238
2016-05-24,1241.2,1248.6,1223.3,1242.15,1238900,1227.0624
2016-05-25,1260,1298.65,1251.05,1291.6,2481000,1275.9117
2016-05-26,1404,1484.9,1390,1474.15,13794600,1456.2444
2016-05-27,1474,1487.35,1452,1474.9,3923800,1456.9853
2016-05-30,1469.9,1496.45,1466.15,1487.1,2325200,1469.037
2016-05-31,1486.2,1487.1,1467.2,1473.55,2539700,1455.6517
2016-06-01,1470.05,1484.15,1461.1,1465.05,1657500,1447.2549
2016-06-02,1460,1482.7,1441.65,1477.25,2069000,1459.3067
2016-06-03,1477,1485.95,1456,1460.6,1500200,1442.8589
2016-06-06,1462.8,1473.35,1461.05,1468.2,1267900,1450.3666
2016-06-07,1475,1500,1461.3,1487.9,2232300,1469.8274
2016-06-08,1495.2,1514.7,1490.15,1511.2,2216800,1492.8443
2016-06-09,1511.3,1513.7,1487.1,1491.45,1209100,1473.3342
2016-06-10,1482.3,1505,1476.3,1487.7,1435300,1469.6297
2016-06-13,1470,1473.9,1455.3,1466.15,1472900,1448.3416
2016-06-14,1468,1473.25,1455.1,1460.55,1126200,1442.8096
2016-06-15,1464,1517,1463.5,1513.8,1973700,1495.4128
2016-06-16,1509,1509,1478,1494.2,1631300,1476.0508
2016-06-17,1494.5,1502.85,1472.9,1480.25,1769200,1462.2703
2016-06-20,1463.4,1510,1460.3,1507.05,1983500,1488.7448
2016-06-21,1510,1510.9,1490.5,1494.8,796700,1476.6436
2016-06-22,1496,1503,1480.2,1491.55,1209200,1473.4331
2016-06-23,1487.1,1507.95,1473.4,1498.6,1369300,1480.3974
2016-06-24,1448.5,1468,1401,1430.6,4560500,1413.2233
2016-06-27,1428.95,1469.4,1428,1466.75,1706700,1448.9342
2016-06-28,1468.7,1491.5,1468,1474.05,1561400,1456.1456
2016-06-29,1486.2,1493,1477.25,1483.2,1333600,1465.1844
2016-06-30,1488.2,1504.9,1484.9,1496.5,2640300,1478.3229
2016-07-01,1504.8,1545,1500.7,1542.65,2331900,1523.9124
2016-07-04,1550,1577,1548.35,1568.1,1812000,1549.0532
2016-07-05,1566.3,1582,1552,1576.1,1757800,1556.956
2016-07-06,1576.1,1576.1,1576.1,1576.1,0,1556.956
2016-07-07,1576,1581.95,1550.65,1554.5,1389700,1535.6184
2016-07-08,1554.95,1556.15,1522.05,1532.65,1277000,1514.0338
2016-07-11,1558,1571.2,1554.55,1559.8,1210300,1540.8541
2016-07-12,1567.8,1571.75,1546.95,1568,1588600,1548.9544
2016-07-13,1568.1,1569.8,1543.1,1551.4,1357300,1532.5561
